rel_id,person_id,actor_name,actor_born,movie_id,movie_title,movie_released,roles
1152921504606846977,1,Keanu Reeves,1964,0,The Matrix,1999,[Neo]
1152921504606846978,2,Carrie-Anne Moss,1967,0,The Matrix,1999,[Trinity]
1152921504606846979,3,Laurence Fishburne,1961,0,The Matrix,1999,[Morpheus]
1152921504606846980,4,Hugo Weaving,1960,0,The Matrix,1999,[Agent Smith]
1152921504606846984,8,Emil Eifrem,1978,0,The Matrix,1999,[Emil]
6917529027641081865,1,Keanu Reeves,1964,9,The Matrix Reloaded,2003,[Neo]
6919780827454767113,2,Carrie-Anne Moss,1967,9,The Matrix Reloaded,2003,[Trinity]
6922032627268452361,3,Laurence Fishburne,1961,9,The Matrix Reloaded,2003,[Morpheus]
6924284427082137609,4,Hugo Weaving,1960,9,The Matrix Reloaded,2003,[Agent Smith]
6917529027641081866,1,Keanu Reeves,1964,10,The Matrix Revolutions,2003,[Neo]
6919780827454767114,2,Carrie-Anne Moss,1967,10,The Matrix Revolutions,2003,[Trinity]
6922032627268452362,3,Laurence Fishburne,1961,10,The Matrix Revolutions,2003,[Morpheus]
6924284427082137610,4,Hugo Weaving,1960,10,The Matrix Revolutions,2003,[Agent Smith]
6917529027641081867,1,Keanu Reeves,1964,11,The Devil's Advocate,1997,[Kevin Lomax]
6919780827454767115,12,Charlize Theron,1975,11,The Devil's Advocate,1997,[Mary Ann Lomax]
6922032627268452363,13,Al Pacino,1940,11,The Devil's Advocate,1997,[John Milton]
1152921504606846992,16,Tom Cruise,1962,15,A Few Good Men,1992,[Lt. Daniel Kaffee]
1152921504606846993,17,Jack Nicholson,1937,15,A Few Good Men,1992,[Col. Nathan R. Jessup]
1152921504606846994,18,Demi Moore,1962,15,A Few Good Men,1992,[Lt. Cdr. JoAnne Galloway]
1152921504606846995,19,Kevin Bacon,1958,15,A Few Good Men,1992,[Capt. Jack Ross]
1152921504606846996,20,Kiefer Sutherland,1966,15,A Few Good Men,1992,[Lt. Jonathan Kendrick]
1152921504606846997,21,Noah Wyle,1971,15,A Few Good Men,1992,[Cpl. Jeffrey Barnes]
1152921504606846998,22,Cuba Gooding Jr.,1968,15,A Few Good Men,1992,[Cpl. Carl Hammaker]
1152921504606846999,23,Kevin Pollak,1957,15,A Few Good Men,1992,[Lt. Sam Weinberg]
1152921504606847000,24,J.T. Walsh,1943,15,A Few Good Men,1992,[Lt. Col. Matthew Andrew Markinson]
1152921504606847001,25,James Marshall,1967,15,A Few Good Men,1992,[Pfc. Louden Downey]
1152921504606847002,26,Christopher Guest,1948,15,A Few Good Men,1992,[Dr. Stone]
1152921504606847004,28,Aaron Sorkin,1961,15,A Few Good Men,1992,[Man in Bar]
6917529027641081885,16,Tom Cruise,1962,29,Top Gun,1986,[Maverick]
6919780827454767133,30,Kelly McGillis,1957,29,Top Gun,1986,[Charlie]
6922032627268452381,31,Val Kilmer,1959,29,Top Gun,1986,[Iceman]
6924284427082137629,32,Anthony Edwards,1962,29,Top Gun,1986,[Goose]
